1,83
2,31
3,73
4,75
5,98
6,23
7,28
8,70
9,26
10,43
11,36
12,51
13,29
14,39
15,108
16,99
17,51
18,62
19,22
20,48
21,21
22,25
23,22
24,76
25,23
26,31
27,22
28,22
29,120
30,24
31,39
32,83
33,49
34,26
35,52
36,40
37,37
38,113
39,26
40,71
41,40
42,70
43,31
44,94
45,26
46,29
47,77
48,100
49,21
50,107
51,40
52,21
53,23
54,55
55,94
56,28
57,21
58,21
59,35
60,21
61,24
62,113
63,96
64,85
65,25
66,41
67,30
68,69
69,39
70,55
71,41
72,21
73,33
74,103
75,103
76,63
77,26
78,65
79,52
80,29
81,58
82,23
83,34
84,91
85,81
86,28
87,24
88,94
89,29
90,58
91,109
92,46
93,54
94,87
95,34
96,101
97,31
98,78
99,58
100,98
101,37
102,24
103,108
104,100
105,22
106,92
107,52
108,33
109,49
110,26
111,73
112,27
113,34
114,24
115,23
116,26
117,43
118,32
119,23
120,97
121,22
122,22
123,38
124,69
125,116
126,104
127,58
128,30
129,67
130,29
131,26
132,24
133,46
134,25
135,22
136,64
137,22
138,75
139,23
140,66
141,21
142,108
143,21
144,40
145,23
146,24
147,75
148,65
149,54
150,112
151,52
152,69
153,21
154,22
155,40
156,21
157,21
158,24
159,35
160,79
161,45
162,68
163,21
164,23
165,120
166,24
167,94
168,22
169,120
170,21
171,89
172,21
173,21
174,101
175,47
176,23
177,23
178,31
179,99
180,79
181,29
182,42
183,45
184,34
185,58
186,22
187,41
188,68
189,27
190,118
191,45
192,91
193,67
194,51
195,21
196,67
197,82
198,102
199,90
200,81
201,115
202,66
203,97
204,116
205,55
206,38
207,23
208,81
209,93
210,21
211,53
212,25
213,51
214,24
215,60
216,27
217,28
218,24
219,21
220,51
221,24
222,53
223,39
224,113
225,26
226,42
227,63
228,22
229,36
230,46
231,106
232,34
233,28
234,85
235,33
236,21
237,28
238,47
239,82
240,24
241,56
242,37
243,37
244,27
245,61
246,23
247,50
248,21
249,32
250,59
251,56
252,52
253,28
254,23
255,48
256,50
